,details,elapsed_time,list,num_of_clauses,num_of_operations
62,"{6: (True, 0.5546927452087402), 3: (False, 0.31250476837158203), 4: (True, 0.6415839195251465)}",1.8445680141448975,"['1', '3', '7', '2', '4', '5', '6']",89583,3
63,"{6: (True, 0.6590499877929688), 3: (False, 0.30440807342529297), 4: (True, 0.5608627796173096)}",1.981269121170044,"['3', '1', '2', '4', '6', '5', '7']",89583,3
64,"{6: (True, 0.6071841716766357), 4: (False, 0.5041327476501465), 5: (True, 0.5474119186401367)}",2.0918450355529785,"['3', '4', '7', '6', '2', '5', '1']",89583,4
65,"{6: (True, 0.812218189239502), 4: (False, 0.707395076751709), 5: (True, 0.9976692199707031)}",2.897799015045166,"['4', '2', '5', '3', '6', '7', '1']",89583,4
66,"{6: (True, 1.001866102218628), 4: (False, 0.6551730632781982), 5: (True, 0.517798900604248)}",2.6677870750427246,"['2', '7', '3', '6', '1', '4', '5']",89583,4
67,"{6: (True, 0.6273641586303711), 4: (False, 0.5773682594299316), 5: (True, 0.5512921810150146)}",2.0910372734069824,"['2', '4', '6', '1', '3', '7', '5']",89583,4
68,"{6: (True, 0.983924388885498), 4: (True, 0.5369629859924316), 5: (True, 0.3665468692779541)}",2.4769439697265625,"['6', '3', '7', '1', '4', '5', '2']",89583,3
69,"{6: (True, 0.4704630374908447), 3: (False, 0.2714371681213379), 4: (True, 0.39261412620544434)}",1.4179158210754395,"['2', '4', '3', '1', '7', '6', '5']",89583,3
70,"{6: (True, 0.39371395111083984), 4: (False, 0.41268301010131836), 5: (True, 0.3529539108276367)}",1.4453670978546143,"['5', '2', '7', '1', '4', '3', '6']",89583,4
71,"{6: (True, 0.41454195976257324), 4: (False, 0.34565186500549316), 5: (True, 0.3970029354095459)}",1.4493279457092285,"['4', '1', '3', '5', '2', '7', '6']",89583,4
72,"{6: (True, 0.4456651210784912), 4: (True, 0.45413994789123535), 5: (True, 0.4416069984436035), 3: (False, 0.22426104545593262)}",1.8512897491455078,"['5', '3', '6', '4', '1', '2', '7']",89583,3
73,"{6: (True, 0.6734967231750488), 3: (False, 0.2832939624786377), 4: (True, 0.5215039253234863)}",2.048468828201294,"['3', '7', '4', '5', '6', '1', '2']",89583,3
74,"{6: (True, 0.6413850784301758), 3: (False, 0.30414390563964844), 4: (False, 0.533923864364624)}",1.9421710968017578,"['3', '6', '7', '2', '1', '5', '4']",89583,4
75,"{6: (True, 0.6036159992218018), 2: (False, 0.22568011283874512), 3: (True, 0.5390501022338867)}",1.8274152278900146,"['7', '4', '5', '6', '3', '2', '1']",89583,2
76,"{6: (True, 0.7460517883300781), 4: (False, 0.46207690238952637), 5: (True, 0.604686975479126)}",2.1705307960510254,"['1', '7', '2', '5', '3', '4', '6']",89583,4
77,"{6: (True, 0.5685498714447021), 4: (False, 0.5307619571685791), 5: (True, 0.5664980411529541)}",2.139551877975464,"['6', '3', '5', '7', '2', '1', '4']",89583,4
78,"{6: (True, 0.8006720542907715), 4: (False, 0.4168887138366699), 5: (True, 0.6907508373260498)}",2.375411033630371,"['5', '3', '2', '4', '1', '7', '6']",89583,4
79,"{6: (True, 0.5251610279083252), 3: (False, 0.26996898651123047), 4: (True, 0.5708410739898682)}",1.7830913066864014,"['5', '4', '1', '6', '2', '3', '7']",89583,3
80,"{6: (True, 0.7692649364471436), 4: (False, 0.4372248649597168), 5: (True, 0.563295841217041)}",2.1673102378845215,"['1', '3', '6', '2', '5', '7', '4']",89583,4
81,"{6: (True, 0.4517371654510498), 4: (False, 0.3853418827056885), 5: (True, 0.4158458709716797)}",1.558816909790039,"['5', '7', '2', '4', '3', '1', '6']",89583,4
82,"{6: (True, 0.43575620651245117), 3: (False, 0.2791459560394287), 4: (True, 0.44536495208740234)}",1.4441137313842773,"['2', '3', '5', '1', '4', '6', '7']",89583,3
83,"{6: (True, 0.4429619312286377), 3: (False, 0.2593541145324707), 4: (True, 0.3351409435272217)}",1.3598768711090088,"['5', '4', '7', '6', '1', '3', '2']",89583,3
84,"{6: (True, 0.45918703079223633), 4: (True, 0.3714461326599121), 5: (True, 0.3965449333190918), 3: (False, 0.25907111167907715)}",1.7990169525146484,"['3', '2', '4', '7', '1', '6', '5']",89583,3
85,"{6: (True, 0.4644021987915039), 4: (False, 0.3288729190826416), 5: (True, 0.46763110160827637)}",1.576934814453125,"['5', '1', '4', '6', '2', '7', '3']",89583,4
86,"{6: (True, 0.4508481025695801), 2: (False, 0.1081087589263916), 3: (True, 0.2703559398651123)}",1.1291720867156982,"['1', '2', '6', '7', '4', '3', '5']",89583,2
87,"{6: (True, 0.44854092597961426), 4: (False, 0.3450748920440674), 5: (True, 0.40441393852233887)}",1.5035591125488281,"['3', '2', '6', '5', '1', '7', '4']",89583,4
88,"{6: (True, 0.41012120246887207), 4: (False, 0.34763407707214355), 5: (True, 0.41246795654296875)}",1.4418070316314697,"['7', '6', '3', '2', '5', '1', '4']",89583,4
